2018-12-31 01:28:18,b'RT @RakeshD3333: #HappyNewYear2019 \n#NewYear\n\xf0\x9f\x93\x99\xf0\x9f\x93\x99Offer Free book\xf0\x9f\x93\x99\xf0\x9f\x93\x99\n\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\n@KiranManral @thekiranbedi @karantacker \nMore details watch\nSadhna c\xe2\x80\xa6'
2018-12-31 01:28:17,"b""Retweeting this sad ending to 2018 because if we don't change our ways this kinda Tweet is going to be commonplace\xe2\x80\xa6 https://t.co/o2Hs84Malx"""
2018-12-31 01:28:13,"b'Doing this a tad early --- Happy New Year to all my friends and family here, well you are all family to me , wishin\xe2\x80\xa6 https://t.co/ksRhYrVQSK'"
2018-12-31 01:28:11,b'I hope i can reach something that i want.. #Harapan2019 #HappyNewYear2019'
2018-12-31 01:28:05,"b'RT @WriterTravelerR: \xe2\x98\x80\xef\xb8\x8f\xf0\x9f\x8d\x80Good morning, friends! \xf0\x9f\x8c\xb7\xf0\x9f\x8c\xbc\xf0\x9f\x8c\xb8 #Morning #HappyNewYear2019 #HappyDay #photograph #flowers #beautifulplaces #mountain #fl\xe2\x80\xa6'"
2018-12-31 01:27:59,b'@FreedomGottaAK @darkpath0010 @TwitterSupport Mine is the exact reverse!\n\n#HappyNewYear2019'
2018-12-31 01:27:57,b'RT @SKapil5: On the occasion of  #HappyNewYear2019\nSay No To the Drugs\nMake Your New Year delight By listening the discourse (Satsang) oF S\xe2\x80\xa6'
2018-12-31 01:27:56,"b'RT @LunaLuvgood2017: If #HappyNewYear2019 finds you alone or feeling lonely\n\nRemember, it\xe2\x80\x99s ok and so are you \n\nI want you to know, I care\xe2\x80\xa6'"
2018-12-31 01:27:53,b'12 new chapters\n365 chances \xf0\x9f\x98\x87\nhave a prosperous year ahead everyone \xf0\x9f\x98\x98 #HappyNewYear2019'
2018-12-31 01:27:50,b'RT @DollySi71615337: #HappyNewYear2019 \nThis new year will bring a huge bunch of happiness in your life by just following the pathway of sp\xe2\x80\xa6'
2018-12-31 01:27:46,"b'May this year 2019 be filled with joy, love and peace. \xf0\x9f\x98\x8d #positivevibes #HappyNewYear2019'"
2018-12-31 01:27:45,b'Goodbye 2018 welcome 2019 \n#HappyNewYear2019'
2018-12-31 01:27:43,"b'RT @Divya666966: Remember #2018Memory and celebrate #HappyNewYear2019 But in unique way where is no potation and narcotics.\nBecause,you say\xe2\x80\xa6'"
